,Letter,Count,Frequency
0,З,4,0.004429678848283499
1,а,53,0.058693244739756366
2,д,23,0.02547065337763012
3,и,43,0.047619047619047616
4,в,42,0.046511627906976744
5,л,20,0.0221483942414175
6,я,15,0.016611295681063124
7,ю,16,0.017718715393133997
8,с,21,0.023255813953488372
9,ь,14,0.015503875968992248
10, ,126,0.13953488372093023
11,у,23,0.02547065337763012
12,т,41,0.04540420819490587
13,о,57,0.06312292358803986
14,ї,7,0.007751937984496124
15,з,17,0.018826135105204873
16,і,41,0.04540420819490587
17,н,34,0.03765227021040975
18,ц,4,0.004429678848283499
19,"
",32,0.035437430786267994
20,Г,2,0.0022148394241417496
21,б,21,0.023255813953488372
22,й,12,0.013289036544850499
23,р,32,0.035437430786267994
24,ж,4,0.004429678848283499
25,К,2,0.0022148394241417496
26,е,39,0.04318936877076412
27,ш,4,0.004429678848283499
28,х,5,0.005537098560354375
29,ч,8,0.008859357696566999
30,к,22,0.024363233665559248
31,Р,5,0.005537098560354375
32,п,14,0.015503875968992248
33,У,2,0.0022148394241417496
34,Т,2,0.0022148394241417496
35,м,19,0.021040974529346623
36,І,1,0.0011074197120708748
37,Б,3,0.0033222591362126247
38,г,6,0.006644518272425249
39,О,1,0.0011074197120708748
40,Д,2,0.0022148394241417496
41,М,1,0.0011074197120708748
42,Щ,1,0.0011074197120708748
43,Х,4,0.004429678848283499
44,щ,2,0.0022148394241417496
45,Ч,1,0.0011074197120708748
46,є,3,0.0033222591362126247
47,—,2,0.0022148394241417496
48,Я,2,0.0022148394241417496
49,А,1,0.0011074197120708748
50,Н,1,0.0011074197120708748
